商品构成（按SITC分类）,日期,单位,当月出口额,当月进口额,出口累计比去年同期±％,进口累计比去年同期±％
总值,2020-1,万元人民币,148109154,109803868,-1.5,-11.3
一、初级产品,2020-1,万元人民币,7514958,45284293,-4.2,2.3
0类食品及活动物,2020-1,万元人民币,3843785,5778689,-5.4,5.3
00章活动物,2020-1,万元人民币,5581,41760,-75.9,-1.9
01章肉及肉制品,2020-1,万元人民币,135927,1823058,-18.8,117.4
02章乳品及蛋品,2020-1,万元人民币,13823,629029,-15.4,-7.7
03章鱼、甲壳及软体类动物及其制品,2020-1,万元人民币,1210886,982677,-17.1,-4.1
04章谷物及其制品,2020-1,万元人民币,108572,310638,-1.0,-46.2
05章蔬菜及水果,2020-1,万元人民币,1451453,1267746,3.1,-5.0
06章糖、糖制品及蜂蜜,2020-1,万元人民币,148787,50747,-1.5,-23.0
07章咖啡、茶、可可、调味料及其制品,2020-1,万元人民币,261383,83018,6.3,-23.5
08章饲料（不包括未碾磨谷物）,2020-1,万元人民币,168555,177201,2.2,-29.7
09章杂项食品,2020-1,万元人民币,338819,412815,6.4,-26.4
1类饮料及烟类,2020-1,万元人民币,101491,331355,-27.6,-42.5
11章饮料,2020-1,万元人民币,68694,270700,-24.0,-36.8
12章烟草及其制品,2020-1,万元人民币,32797,60655,-34.2,-59.0
2类非食用原料（燃料除外）,2020-1,万元人民币,985097,15360864,-7.9,-7.9
21章生皮及生毛皮,2020-1,万元人民币,2459,59143,44.4,-36.7
22章油籽及含油果实,2020-1,万元人民币,92121,2415828,-13.5,-7.4
23章生橡胶（包括合成橡胶及再生橡胶）,2020-1,万元人民币,46789,551636,1.6,-12.6
24章软木及木材,2020-1,万元人民币,39500,927733,-1.1,-29.8
25章纸浆及废纸,2020-1,万元人民币,8358,843315,9.7,-35.4
26章纺织纤维及其废料,2020-1,万元人民币,188417,404124,-11.5,-44.9
27章天然肥料及矿物(煤、石油及宝石除外),2020-1,万元人民币,159805,304425,-23.0,-33.9
28章金属矿砂及金属废料,2020-1,万元人民币,95538,9762260,-12.3,4.1
29章其他动、植物原料,2020-1,万元人民币,352109,92401,4.1,-35.2
3类矿物燃料、润滑油及有关原料,2020-1,万元人民币,2508961,23351297,-0.2,11.5
32章煤、焦炭及煤砖,2020-1,万元人民币,71065,2301900,-67.4,18.6
33章石油、石油产品及有关原料,2020-1,万元人民币,2283296,17625579,5.1,17.4
34章天然气及人造气,2020-1,万元人民币,74961,3416726,-9.5,-14.1
35章电流,2020-1,万元人民币,79640,7092,96.9,-25.5
4类动植物油、脂及蜡,2020-1,万元人民币,75625,462088,31.9,-19.4
41章动物油、脂,2020-1,万元人民币,14154,25324,41.4,17.6
42章植物油、脂,2020-1,万元人民币,19494,423696,-1.9,-21.4
43章已加工的动植物油、脂及动植物蜡,2020-1,万元人民币,41977,13068,52.9,4.8
二、工业制品,2020-1,万元人民币,140594196,64519575,-1.4,-18.9
5类化学成品及有关产品,2020-1,万元人民币,9574261,9956580,-1.3,-27.1
51章有机化学品,2020-1,万元人民币,3045996,2836503,-0.1,-31.7
52章无机化学品,2020-1,万元人民币,834612,494863,-18.4,-8.5
53章染料、鞣料及着色料,2020-1,万元人民币,482336,204672,16.6,-29.8
54章医药品,2020-1,万元人民币,1143248,1428158,12.1,-28.8
55章精油、香料及盥洗、光洁制品,2020-1,万元人民币,531369,802812,3.2,-10.6
56章制成肥料,2020-1,万元人民币,247442,234432,-41.4,-15.6
57章初级形状的塑料,2020-1,万元人民币,875290,2317550,-13.9,-29.5
58章非初级形状的塑料,2020-1,万元人民币,1069781,578535,8.1,-19.8
59章其他化学原料及产品,2020-1,万元人民币,1344186,1059056,7.7,-28.8
6类按原料分类的制成品,2020-1,万元人民币,24797472,7044490,-4.9,-17.5
61章皮革、皮革制品及已鞣毛皮,2020-1,万元人民币,122206,87240,11.5,-45.4
62章橡胶制品,2020-1,万元人民币,1156510,218418,-4.9,-25.4
63章软木及木制品（家具除外）,2020-1,万元人民币,825213,71030,-3.7,-2.4
